model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_24,0.001,50,30,1,3000,22,525000.0,26.90909090909091,175.0,0.135746407561452,0.08372133400208011,0.3277261796363783,0.2071552591254367,0.3362000235869936,0.7277446981776666,0.040519480519480476,0.0862337662337662,5.309454545454508,8.701554545454515,4.568831168831169,-21.454329783473096,-36.368371861756216,-28.497308744331534,15.090909090909092,159.9090909090909,11.818181818181818,9.172242424242478
model_25,0.001,50,30,1,5000,22,525000.0,26.90909090909091,105.0,0.12990249555855862,0.08376568724993451,0.2593797021831011,0.17171504895506093,0.23722848025283708,0.4565355239947068,0.05064935064935063,0.09264069264069262,5.001454545454528,7.9403272727272585,2.722077922077922,-22.96033187322067,-31.890321256323997,-37.586246272578094,9.727272727272727,95.27272727272727,17.181818181818183,6.196636363636372
model_26,0.001,50,30,10,500,22,525000.0,26.90909090909091,1029.909090909091,0.05433985552124141,0.0536563415322355,0.18417460327604324,0.18251614002232228,0.9969499674397749,0.9993215739484396,0.026764900957703897,0.029403495474296663,0.9468181818181794,2.0103545454545353,26.933766233766235,-78.06405800735372,-165.70007670854014,-40.56423047494234,26.818181818181817,942.6818181818181,0.09090909090909091,26.47742424242424
model_27,0.001,50,30,10,1000,22,525000.0,26.90909090909091,520.0,0.08773170391326406,0.0766453742831703,0.26336825874388325,0.23996174385352767,0.9323959818588636,0.9735476815120816,0.04291958041958037,0.049691977515455954,2.220909090909088,4.447654545454525,13.594805194805195,-38.3257749496182,-82.7698222095797,-24.33102404691018,24.227272727272727,475.8181818181818,2.6818181818181817,20.953636363636384
model_28,0.001,50,30,10,2000,22,525000.0,26.90909090909091,262.0,0.12547029466355875,0.09026841785811601,0.3340525075715005,0.2490281487968655,0.499406372828725,0.8943645514767689,0.04389312977099232,0.07549729829985329,4.514545454545435,7.45582727272727,6.848051948051947,-22.519916792161588,-44.973633451671034,-22.70214937149777,19.5,239.6818181818182,7.409090909090909,13.79839393939397
model_29,0.001,50,30,10,3000,22,525000.0,26.90909090909091,175.0,0.135138051363546,0.08414623251238772,0.3272337301261652,0.20997515411666914,0.3394878832301161,0.7382292921167007,0.03999999999999996,0.08571428571428567,5.297999999999982,8.698609090909052,4.571428571428571,-21.536781890711072,-36.46076190230195,-28.66570097582473,15.0,160.0,11.909090909090908,9.188424242424276
model_30,0.001,50,30,10,5000,22,525000.0,26.90909090909091,105.0,0.130339410875156,0.0832255595294666,0.26105155098115845,0.1702039669203719,0.23204940953668196,0.4687176826517867,0.048917748917748895,0.09307359307359304,5.273000000000002,8.263354545454531,2.7207792207792205,-22.907804292208304,-31.8327938894972,-37.49076403901841,9.772727272727273,95.22727272727273,17.136363636363637,6.1838181818181965
model_31,0.001,50,30,50,500,22,525000.0,26.90909090909091,1032.7272727272727,0.05411241819328809,0.053080407608625604,0.183655993461758,0.1811461668847336,0.9958958839877639,0.9993215739484396,0.02658181086396617,0.029266897940926365,0.9962727272727148,2.1740545454545486,27.037662337662336,-77.93745680850526,-165.8907879031296,-39.869882170284015,26.818181818181817,946.3181818181819,0.09090909090909091,26.300242424242423
model_32,0.001,50,30,50,1000,22,525000.0,26.90909090909091,520.2727272727273,0.08802220716586603,0.07683275595068909,0.2640535258913197,0.24020920240284374,0.9226521234759576,0.9754875217223912,0.042891225856676866,0.04988388992584067,2.2335454545454287,4.4503363636363416,13.588311688311688,-38.30932419367778,-82.74772907004149,-24.362849028223195,24.272727272727273,475.59090909090907,2.6363636363636362,20.986454545454567
model_33,0.001,50,30,50,2000,22,525000.0,26.90909090909091,262.0,0.12592354981467557,0.09105824099892668,0.3361724320389801,0.25371794255912966,0.5225347192432286,0.900393852754004,0.04424011103400411,0.07566584331724967,4.450272727272711,7.37384545454542,6.8428571428571425,-22.206802150351816,-44.64524952437329,-22.214851190613803,19.545454545454547,239.5,7.363636363636363,13.859181818181865
model_34,0.001,50,30,50,3000,22,525000.0,26.90909090909091,175.0,0.13615830686789024,0.08593421928395245,0.33049575608947407,0.21573970821164276,0.3585807220820554,0.7446574092269768,0.04181818181818178,0.0862337662337662,5.074727272727269,8.580609090909082,4.568831168831169,-21.33590745122657,-36.24995223566331,-28.3788850590082,15.090909090909092,159.9090909090909,11.818181818181818,9.345303030303059
model_35,0.001,50,30,50,5000,22,525000.0,26.90909090909091,105.0,0.13145234771028,0.08499438048736613,0.26396015419229407,0.1752865825004233,0.23569060305390854,0.4656879057522966,0.04761904761904759,0.09350649350649348,4.9391818181818135,7.820599999999982,2.7194805194805194,-22.76703880821106,-31.68702797148933,-37.307044226571925,9.818181818181818,95.18181818181819,17.09090909090909,6.262454545454561
model_36,0.001,50,30,100,500,22,525000.0,26.90909090909091,1034.7272727272727,0.05419244829951143,0.05345496301995378,0.1837803472869962,0.18198844535570896,0.9969499674397749,0.9996607869742197,0.02666228379840443,0.029317227057824424,0.84372727272726,2.0765818181817957,27.072727272727274,-78.38774404962305,-166.43017150116313,-40.639257596580286,26.863636363636363,947.5454545454545,0.045454545454545456,26.49493939393939
model_37,0.001,50,30,100,1000,22,525000.0,26.90909090909091,520.4090909090909,0.08779861759677612,0.0765706460892335,0.2637755751736315,0.24003236944394324,0.9331532154490929,0.9751118643219404,0.04254375662724986,0.049726019674266174,2.151181818181794,4.398954545454537,13.588311688311688,-38.16183921100506,-82.58997977050552,-24.220496203982098,24.227272727272727,475.59090909090907,2.6818181818181817,20.916727272727297
model_38,0.001,50,30,100,2000,22,525000.0,26.90909090909091,262.0,0.12601194058381307,0.09057968450114454,0.3354829454880487,0.2508975386256624,0.5182679409304741,0.8985893361543024,0.04371963913948642,0.07586992569455363,4.468636363636339,7.294863636363633,6.8428571428571425,-22.527471901752314,-44.951632303261505,-22.76993715554317,19.59090909090909,239.5,7.318181818181818,13.849121212121242
model_39,0.001,50,30,100,3000,22,525000.0,26.90909090909091,175.0,0.13763380049735466,0.087318758695918,0.3329936596495231,0.21829468964287768,0.3643867586050499,0.7471703111187584,0.04285714285714281,0.08727272727272724,5.065363636363618,8.630654545454517,4.5636363636363635,-20.936909094025406,-35.83098854953873,-27.808051184450562,15.272727272727273,159.72727272727272,11.636363636363637,9.520666666666713
model_40,0.001,50,30,100,5000,22,525000.0,26.90909090909091,105.0,0.1303001445505174,0.08421128908659976,0.26004211395630045,0.17213038390578708,0.23811001559728806,0.45827135536053965,0.04978354978354977,0.09307359307359304,5.0898181818181465,7.827909090909079,2.7207792207792205,-22.822142374902306,-31.7471315979416,-37.4051023088372,9.772727272727273,95.22727272727273,17.136363636363637,6.254030303030317
model_41,0.001,50,50,1,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_42,0.001,50,50,1,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_43,0.001,50,50,1,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_44,0.001,50,50,1,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_45,0.001,50,50,1,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_46,0.001,50,50,10,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_47,0.001,50,50,10,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_48,0.001,50,50,10,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_49,0.001,50,50,10,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_50,0.001,50,50,10,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_51,0.001,50,50,50,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_52,0.001,50,50,50,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_53,0.001,50,50,50,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_54,0.001,50,50,50,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_55,0.001,50,50,50,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_56,0.001,50,50,100,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_57,0.001,50,50,100,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_58,0.001,50,50,100,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_59,0.001,50,50,100,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_60,0.001,50,50,100,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_61,0.001,50,100,1,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_62,0.001,50,100,1,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_63,0.001,50,100,1,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_64,0.001,50,100,1,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_65,0.001,50,100,1,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_66,0.001,50,100,10,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_67,0.001,50,100,10,1000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_68,0.001,50,100,10,2000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_69,0.001,50,100,10,3000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_70,0.001,50,100,10,5000,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
model_71,0.001,50,100,50,500,22,525000.0,26.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.0,26.90909090909091,0.0
