model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_371,80.0,0.04,0.99,200,2000,22,525000.0,26.90909090909091,192.04545454545453,0.14070103556491886,0.10020244586983923,0.330961410049291,0.2461360326306692,0.4374130614085811,0.7465560631338138,0.04867889354571953,0.08769082632022787,4.1740952380952265,7.735695238095218,4.97012987012987,-20.46756627376,-36.78175531754639,-25.94683538823044,16.90909090909091,173.95454545454547,10.0,11.4596363636364
model_372,80.0,0.04,0.99,200,4000,22,525000.0,26.90909090909091,104.72727272727273,0.136754410335907,0.08907277671360833,0.25898758106592845,0.17683435928761068,0.23056667835197944,0.4338660943285672,0.0482035461553945,0.09700329260031393,5.000666666666635,7.452019047619026,2.705194805194805,-22.319874310901035,-31.179794770466298,-36.708095899300226,10.045454545454545,94.68181818181819,16.863636363636363,6.212545454545477
model_373,80.0,0.04,0.9999,10,500,22,525000.0,26.90909090909091,883.0909090909091,0.0597935776406541,0.05857520310117947,0.20017053883383432,0.19705191614725753,0.9660211406571473,0.9791410910813897,0.029361250236408985,0.03244028386889885,1.1306363636363526,2.6741454545454504,23.033766233766233,-66.66113250179791,-142.160396990772,-35.638772984583575,26.545454545454547,806.1818181818181,0.36363636363636365,25.97803030303031
model_374,80.0,0.04,0.9999,10,1000,22,525000.0,26.90909090909091,469.95454545454544,0.09264281058745526,0.08057153952298728,0.27445652738344745,0.24815583186388188,0.8368224244366282,0.9515450205406818,0.04347923429492477,0.05263736205559633,2.4089999999999745,4.925890909090904,12.250649350649352,-35.19329949647977,-75.45701211477613,-23.87962500551341,23.772727272727273,428.77272727272725,3.1363636363636362,20.42284848484851
model_375,80.0,0.04,0.9999,10,2000,22,525000.0,26.90909090909091,243.4090909090909,0.1284294616573778,0.09021963362198492,0.33701602781279616,0.2459604762909685,0.44788699828912737,0.8648371130070891,0.04314001980357673,0.07741229535176049,4.738090909090886,7.594890909090879,6.3428571428571425,-21.899299481671864,-42.77112553589432,-23.417931909106095,18.954545454545453,222.0,7.954545454545454,13.030333333333369
model_376,80.0,0.04,0.9999,10,4000,22,525000.0,26.90909090909091,124.86363636363636,0.126857660323467,0.08498244320299514,0.2662997004606527,0.1874010987149844,0.3254860589961017,0.5079329046617566,0.049825775803421464,0.08709532488277329,4.617727272727257,7.327881818181807,3.251948051948052,-22.371596932809414,-33.046517417651486,-34.897773054024746,11.045454545454545,113.81818181818181,15.863636363636363,7.133030303030316
model_377,80.0,0.04,0.9999,50,500,22,525000.0,26.90909090909091,768.2272727272727,0.0642920332895577,0.06075184425985633,0.21283940798018178,0.2039258479172417,0.9212255463859639,0.9405043611450833,0.03115442222549747,0.03493793369666643,1.3145454545454383,3.190627272727258,19.97142857142857,-57.798147698791155,-123.20918372139644,-32.36535696021579,25.681818181818183,699.0,1.2272727272727273,24.165666666666674
model_378,80.0,0.04,0.9999,50,1000,22,525000.0,26.90909090909091,420.1818181818182,0.09716296292526798,0.0828523640685255,0.2831773527931513,0.25203096786066737,0.8062077376270558,0.9105763023263435,0.04519643195788034,0.05529980566389602,2.405909090909086,5.002290909090885,10.906493506493506,-31.52697554398674,-67.33033258709062,-22.807115204252977,22.863636363636363,381.72727272727275,4.045454545454546,19.038818181818204
model_379,80.0,0.04,0.9999,50,2000,22,525000.0,26.90909090909091,221.6818181818182,0.13269485612969031,0.09291259959572812,0.3364963312040675,0.2422185359703455,0.4305952070388486,0.8141052180458441,0.047468918734762916,0.0804957070376538,4.850999999999981,7.810854545454519,5.758441558441558,-20.98343663471234,-39.93640839903037,-23.91604166164423,18.181818181818183,201.54545454545453,8.727272727272727,12.37409090909094
model_380,80.0,0.04,0.9999,50,4000,22,525000.0,26.90909090909091,116.36363636363636,0.1357932383657844,0.09353935755154758,0.2826309108178634,0.20345272292340255,0.31381587042931475,0.5386669684737089,0.05301357887239022,0.09261890042749797,4.36152380952379,7.9256571428571085,3.0090909090909093,-21.595656163522804,-31.475584960165076,-34.56478267429258,11.045454545454545,105.31818181818181,15.863636363636363,7.284636363636386
model_381,80.0,0.04,0.9999,200,500,22,525000.0,26.90909090909091,612.1363636363636,0.07644204630315914,0.06885836760815045,0.23617929646246835,0.21748208494020435,0.8135310252484653,0.8755841557693436,0.03525304834363627,0.04219566798576062,1.6338181818181647,4.233399999999981,15.857142857142856,-47.06629334586385,-98.9795713703823,-29.83692706087735,24.181818181818183,555.0,2.727272727272727,21.70784848484851
model_382,80.0,0.04,0.9999,200,1000,22,525000.0,26.90909090909091,353.95454545454544,0.10813501404313967,0.09128579209701687,0.29326750989652983,0.2558820051488409,0.6934315770038487,0.84272518651788,0.04663111183898958,0.06269171595518909,2.689909090909074,5.833127272727271,9.17142857142857,-28.18211927289112,-58.24689773713514,-23.831548222587298,21.363636363636363,321.0,5.545454545454546,17.664424242424264
model_383,80.0,0.04,0.9999,200,2000,22,525000.0,26.90909090909091,193.9090909090909,0.13928053852062555,0.09815960945233142,0.3289695402881817,0.24195608491285106,0.4434793464478796,0.7473910474103984,0.048087933116923914,0.08670185260725079,4.15209523809523,7.739723809523783,5.0181818181818185,-20.59301410153242,-37.072468855498144,-25.8987412700041,16.90909090909091,175.63636363636363,10.0,11.373909090909134
model_384,80.0,0.04,0.9999,200,4000,22,525000.0,26.90909090909091,105.68181818181819,0.13850362652797735,0.09032085736768024,0.2634603030932956,0.17887745381331668,0.23464459124227846,0.44168668643888936,0.05026316427025592,0.09810567745105042,5.052285714285694,7.5957714285714015,2.7233766233766232,-21.71998425624663,-30.62992426491734,-35.765014251911275,10.363636363636363,95.31818181818181,16.545454545454547,6.493969696969722
