model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.001,50,20,50,500,229,180554.47598253275,5.681222707423581,350.0174672489083,0.08720637137308769,0.08720637137308769,0.26601541208569085,0.26601541208569085,0.9996640913671482,0.9996640913671482,0.03937458546898416,0.04899040754847916,1.0561397379912651,1.5478384279475954,24.764080643560305,-27.87055832991072,-59.197702131169365,-13.049781189106723,5.676855895196507,327.0305676855895,0.004366812227074236,5.676855895196507
model_12,0.001,50,20,50,1000,229,180554.47598253275,5.681222707423581,178.25327510917032,0.1432051089765678,0.1421206315501549,0.37877431810911766,0.3763876480363653,0.9624046245161066,0.994933378121151,0.06798490925306801,0.08469534906995527,2.0804978165938883,3.109655895196506,12.651459339443024,-13.01698331969823,-29.006921755852716,-6.056948599437582,5.655021834061135,166.56331877729258,0.026200873362445413,5.597592430858807
model_13,0.001,50,20,50,2000,229,180554.47598253275,5.681222707423581,90.0524017467249,0.21037022410947767,0.16518230762374334,0.4772390361842782,0.3789431214935621,0.4869844878128978,0.9415597549266956,0.06857499946223448,0.1325048497684523,4.335126637554581,6.25139737991266,6.43744101324205,-6.234828750231997,-14.298630969633608,-3.7138446710988764,5.165938864628821,84.12227074235808,0.5152838427947598,4.013260553129548
model_14,0.001,50,20,50,3000,229,180554.47598253275,5.681222707423581,60.35807860262009,0.21546586630299727,0.14299497385939464,0.4345385624478009,0.2896010969243881,0.3098984060292819,0.7409036317879113,0.06466494209044256,0.1447221650577262,5.397244444444439,7.220850666666664,4.356354235149047,-5.424904512308925,-10.824685367059148,-5.0743590630997515,3.9344978165938866,56.4235807860262,1.7467248908296944,2.5934468704512375
model_15,0.001,50,20,50,5000,229,180554.47598253275,5.681222707423581,36.467248908296945,0.18652893097019932,0.12404726545846742,0.31243233575063484,0.20809207360273224,0.1863199388019578,0.4534078434765565,0.06036506134434147,0.14182790500874912,5.217739999999996,6.533786999999997,2.6610446577151143,-5.433475542171403,-8.66862524979349,-7.440354836831976,2.406113537117904,34.06113537117904,3.2751091703056767,1.5663522561863175
model_16,0.001,50,20,100,500,229,180554.47598253275,5.681222707423581,350.1921397379913,0.08703519372491998,0.08703519372491998,0.26590575287564966,0.26590575287564966,0.9994541484716157,0.9994541484716157,0.03942331892764777,0.04883199379756655,1.0675021834061134,1.5690288209606973,24.78516267715471,-27.881518663560513,-59.22753041273763,-13.046940736570212,5.676855895196507,327.2532751091703,0.004366812227074236,5.676855895196507
model_17,0.001,50,20,100,1000,229,180554.47598253275,5.681222707423581,178.2052401746725,0.14279978286815928,0.14162155627133335,0.3784168282714984,0.3759697903417862,0.9617957861985604,0.9945694771022282,0.06778609529930066,0.08434956027606742,2.1192401746724903,3.115771179039298,12.661600025480015,-13.014093383109438,-29.004448611461694,-6.053850266749904,5.650655021834061,166.58515283842794,0.03056768558951965,5.589816593886463
model_18,0.001,50,20,100,2000,229,180554.47598253275,5.681222707423581,90.04366812227074,0.21032831245045155,0.16541464200895864,0.477818599707404,0.3803955488370356,0.5012604047634872,0.9432855764123425,0.06862275921802659,0.13234918194179912,4.2630480349344975,6.195456768558951,6.44358553694157,-6.238852075637377,-14.302566131031226,-3.726645702962286,5.183406113537118,84.12663755458516,0.4978165938864629,4.030500727802038
model_19,0.001,50,20,100,3000,229,180554.47598253275,5.681222707423581,60.34934497816594,0.21558885277697992,0.1433486550183027,0.43320962013271197,0.2895792007820337,0.31182881429156795,0.7385496963007879,0.06707153248618689,0.14511825172326503,5.41436444444444,7.15559288888889,4.353550326955655,-5.445487902002011,-10.845747240608235,-5.107803647546059,3.921397379912664,56.427947598253276,1.759825327510917,2.586404657933042
model_20,0.001,50,20,100,5000,229,180554.47598253275,5.681222707423581,36.47161572052402,0.18758686656442122,0.12446304511575115,0.31385429877589377,0.20831019507948825,0.18670137230694642,0.45513240256047854,0.06216845815200363,0.14270892853557424,5.256766169154227,6.580652736318409,2.658799690789107,-5.412380524410266,-8.645608871466575,-7.40275325044543,2.427947598253275,34.043668122270745,3.2532751091703056,1.570791848617177
model_21,0.001,50,30,1,500,229,180554.47598253275,5.681222707423581,353.8034934497817,0.08620041205058646,0.08620041205058646,0.26414609085886404,0.26414609085886404,0.9996640913671482,0.9996640913671482,0.03903541864334589,0.04831372199449039,0.9955895196506556,1.4996934497816583,25.04435829041241,-28.225539695634623,-59.888705777870626,-13.245485038796094,5.676855895196507,330.5633187772926,0.004366812227074236,5.676855895196507
model_22,0.001,50,30,1,1000,229,180554.47598253275,5.681222707423581,179.05240174672488,0.14259812932814672,0.14160727347762325,0.37812876631034087,0.37613031424492227,0.9673983813657587,0.9948447355652597,0.06786851443273285,0.08417718911592294,2.1069257641921384,3.0910393013100426,12.70836450505957,-13.102310773448085,-29.164890228489618,-6.136523229333431,5.655021834061135,167.3056768558952,0.026200873362445413,5.606489082969432
