model_id,drift_confidence,warning_confidence,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,1,500,68,0.5,127232.0,2.8529411764705883,242.98529411764707,0.024621868777926572,0.02428486423166945,0.10562814400491329,0.10409847030870457,0.9683823529411764,1.0,0.011543248268159417,0.012590692336884476,1.2690882352941213,1.860135294117647,27.179968598354836,-18.858608866495185,-40.073618336201676,-8.412868837524288,2.8529411764705883,230.5441176470588,0.0,2.815156862745098
model_2,0.0001,0.001,1,1000,68,0.5,127232.0,2.8529411764705883,124.67647058823529,0.046016804739946744,0.04467610745418751,0.17848375574888445,0.1735192511266836,0.9464460784313725,1.0,0.020975464166821795,0.02397952306851283,2.5226470588235306,3.2817764705882375,13.954938269321813,-8.724678026213084,-19.644276689978856,-3.500172811977258,2.8529411764705883,118.36764705882354,0.0,2.7682254901960777
model_3,0.0001,0.001,1,2000,68,0.5,127232.0,2.8529411764705883,63.38235294117647,0.08198250473711756,0.06422090949899995,0.278137432160373,0.21720361193109677,0.3574346405228758,0.9901960784313725,0.01829552385470316,0.04406771213685541,4.830676470588238,5.909405882352945,7.099698374067937,-3.7153453785150905,-9.257033714303594,-1.2239129753267204,2.764705882352941,60.220588235294116,0.08823529411764706,2.1653529411764696
model_4,0.0001,0.001,1,3000,68,0.5,127232.0,2.8529411764705883,42.60294117647059,0.0911453437944253,0.06144649480690553,0.2803266362875863,0.1901290467722835,0.36033496732026143,0.7919526143790849,0.02135854341736692,0.05038799410859064,5.158952380952382,6.419323809523813,4.7695409589892295,-2.997992741101302,-6.687645865002061,-1.9472838262097463,2.1470588235294117,40.455882352941174,0.7058823529411765,1.4459117647058821
model_5,0.0001,0.001,1,5000,68,0.5,127232.0,2.8529411764705883,25.941176470588236,0.08749729580593167,0.05506565119134864,0.23123226952013948,0.15048524124302504,0.19330065359477122,0.4908496732026144,0.018710407239818982,0.050995475113122135,5.278576923076925,6.310442307692308,2.9022942803882117,-3.047893830620351,-5.323921395039175,-3.512821224881527,1.3235294117647058,24.61764705882353,1.5294117647058822,0.8229215686274512
model_6,0.0001,0.001,10,500,68,0.5,127232.0,2.8529411764705883,240.66176470588235,0.024840093465006523,0.024496345719405704,0.10643721529293616,0.10487785549191492,0.9634803921568628,1.0,0.011593644981294763,0.012704908895396105,1.3361470588235294,1.9625352941176477,26.938977615694164,-18.697867822949583,-39.72390195459849,-8.376027227713367,2.8529411764705883,228.5,0.0,2.814549019607843
model_7,0.0001,0.001,10,1000,68,0.5,127232.0,2.8529411764705883,123.95588235294117,0.04601866536027476,0.04437810405208921,0.1785027438204908,0.1724888481944029,0.9255718954248366,0.9983660130718954,0.02050025946176267,0.023980874962199056,2.3330000000000033,3.1786176470588274,13.873452109717125,-8.664862061569112,-19.524432284989388,-3.4703710675060337,2.838235294117647,117.67647058823529,0.014705882352941176,2.734990196078431
model_8,0.0001,0.001,10,2000,68,0.5,127232.0,2.8529411764705883,63.161764705882355,0.08216883849516472,0.06524610645926361,0.27831440989246403,0.22002493256219463,0.4261437908496732,0.988562091503268,0.01998976729110469,0.044191244891357305,4.378088235294118,5.58322647058824,7.058088420227246,-3.646491209623509,-9.146304982317396,-1.175996087982448,2.75,59.86764705882353,0.10294117647058823,2.1845784313725476
model_9,0.0001,0.001,10,3000,68,0.5,127232.0,2.8529411764705883,42.55882352941177,0.08986885629601118,0.06349152441056213,0.2735880834970164,0.19551675474200908,0.35927287581699346,0.751266339869281,0.021757540225392457,0.049801713084553126,4.870166666666668,6.150376666666669,4.767807210912534,-2.9847685790931338,-6.672791216759862,-1.9642866720244758,2.1176470588235294,40.44117647058823,0.7352941176470589,1.4923921568627452
model_10,0.0001,0.001,10,5000,68,0.5,127232.0,2.8529411764705883,25.926470588235293,0.08865396537030915,0.0579059024177234,0.2361123961959412,0.16005289843535223,0.21928104575163399,0.5043300653594771,0.020429864253393642,0.05156108597285064,4.981622641509436,6.020143396226418,2.8988267842348208,-2.9630368408606764,-5.234211427873922,-3.400978959118759,1.338235294117647,24.58823529411765,1.5147058823529411,0.8612156862745097
