model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,1.0,0.001,0.99,200,2000,229,180554.47598253275,5.681222707423581,64.72052401746726,0.20821858918327868,0.14353159285483674,0.42502117585424076,0.29312432651494097,0.34374585977141847,0.7325785892476105,0.06355970605257343,0.13885080090279467,5.185362831858404,6.745986725663709,4.696705562897093,-5.666304311265585,-11.479489675592584,-5.074122109451433,4.034934497816594,60.51528384279476,1.6462882096069869,2.7654759825327515
model_12,1.0,0.001,0.99,200,4000,229,180554.47598253275,5.681222707423581,37.98689956331878,0.18278878896326842,0.12414965919884091,0.31053038490675966,0.20843113790572398,0.20761992702334342,0.44639337173372623,0.06791890981874449,0.13744195880853255,5.3181624365482225,6.530959390862946,2.802040945577829,-5.5898605573755615,-8.979675636724135,-7.536874415081188,2.406113537117904,35.580786026200876,3.2751091703056767,1.5859243085880643
model_13,1.0,0.001,0.9999,10,500,229,180554.47598253275,5.681222707423581,316.12227074235807,0.09330586294428259,0.09328627533949077,0.2801809361801405,0.2800995267606397,0.9954512372634644,0.99872634643377,0.04265563698313995,0.052718736697892274,1.2738078602620073,1.811309170305681,22.510503789430025,-24.85160249537276,-53.1176254857487,-11.578853008918415,5.672489082969432,295.3362445414847,0.008733624454148471,5.671039301310043
model_14,1.0,0.001,0.9999,10,1000,229,180554.47598253275,5.681222707423581,168.12663755458516,0.14869027649602845,0.14724376568662187,0.390194234916283,0.38659113190465233,0.9118243463446392,0.9979294965102825,0.06839541526809155,0.08813228347880625,2.2553362445414833,3.384583406113536,11.9958347306491,-12.167279580464305,-27.234262043184714,-5.712390969191437,5.6593886462882095,156.9868995633188,0.021834061135371178,5.589138282387191
model_15,1.0,0.001,0.9999,10,2000,229,180554.47598253275,5.681222707423581,87.35807860262008,0.21176604261196294,0.15914977457952617,0.47676155927525127,0.35833621240892605,0.4285060324554288,0.9312139069652556,0.06452708727943927,0.13419691409694556,4.780934497816582,6.684719650655015,6.281090718026533,-6.142655973061456,-13.974518064149768,-3.737641958084985,5.122270742358078,81.7117903930131,0.5589519650655022,3.754809315866087
model_16,1.0,0.001,0.9999,10,4000,229,180554.47598253275,5.681222707423581,44.69432314410481,0.18634236790100894,0.12513567629759145,0.33410360766829916,0.22377480059021265,0.21618144214149865,0.5044896315831328,0.06330703729194379,0.13490488888998858,5.382126829268293,6.801063414634147,3.293427108891203,-5.509618059691323,-9.49793287102137,-6.7600021387424585,2.834061135371179,41.86026200873363,2.8471615720524017,1.8626521106259097
model_17,1.0,0.001,0.9999,50,500,229,180554.47598253275,5.681222707423581,272.4366812227074,0.1024842203761307,0.10130022195542426,0.30020434378302036,0.29648714805920034,0.940649609972754,0.9824046526011592,0.04619532556020685,0.05834219891834058,1.4551441048034937,2.4380279475982523,19.64101923916323,-21.192839465272556,-45.50693507096647,-10.022691225744373,5.602620087336245,254.19650655021834,0.07860262008733625,5.5552634643377
model_18,1.0,0.001,0.9999,50,1000,229,180554.47598253275,5.681222707423581,152.26200873362444,0.15568410032185656,0.15112261470659125,0.39998854411938867,0.3884064931922674,0.8167814058675862,0.9690858753085827,0.06885341046540688,0.09297222282441724,2.4432017543859623,3.8174596491228048,10.95806812387901,-10.96630302482064,-24.57714441057956,-5.357388882159519,5.554585152838428,142.04803493449782,0.12663755458515283,5.3947772925764195
model_19,1.0,0.001,0.9999,50,2000,229,180554.47598253275,5.681222707423581,82.24890829694323,0.2135674722955358,0.16258358801668452,0.47298550846296444,0.36037799052642966,0.44801336496366034,0.8888716907147424,0.07244842305435753,0.1357164787959014,4.607654867256635,6.536782300884953,5.956275717067808,-5.849376117873967,-13.211752622534908,-3.7970088262421853,4.978165938864628,76.79039301310044,0.7030567685589519,3.717045123726347
model_20,1.0,0.001,0.9999,50,4000,229,180554.47598253275,5.681222707423581,43.275109170305676,0.1896786866044094,0.1281373994032166,0.3364108575644371,0.22951144040918905,0.23455486275291051,0.4903341022079784,0.06850852701526652,0.13771869089937813,5.204304568527914,6.780637563451774,3.200205992315478,-5.245158212169433,-9.091295235473808,-6.496762189600216,2.8820960698689957,40.39301310043668,2.7991266375545854,1.905330422125183
model_21,1.0,0.001,0.9999,200,500,229,180554.47598253275,5.681222707423581,164.86899563318778,0.14305403264746858,0.13124472159392844,0.37302881986557085,0.34097619778446636,0.721380294720264,0.9382021526864835,0.056432991044963236,0.08545015529893675,2.7208122270742394,4.600460262008735,11.701473898716861,-12.738743348053594,-27.572553856451286,-6.771619753243397,5.248908296943231,154.14847161572052,0.43231441048034935,4.793854439592432
model_22,1.0,0.001,0.9999,200,1000,229,180554.47598253275,5.681222707423581,110.17030567685589,0.17954387906002267,0.15237412290342622,0.43018045464014276,0.36643432203193255,0.5912908940105189,0.913776702291344,0.06491752007578484,0.11045030329984767,3.5759912280701736,5.6017947368421,7.944681023029286,-8.239489552125116,-18.142185977181658,-4.912595488068461,5.074235807860262,102.93449781659389,0.6069868995633187,4.270136826783115
model_23,1.0,0.001,0.9999,200,2000,229,180554.47598253275,5.681222707423581,67.41484716157206,0.21083096076426458,0.14671650219463697,0.4382471374001205,0.30391179560161835,0.34141285192531023,0.7656247967575992,0.06358723336031692,0.1392716522586532,5.28077678571428,6.976066964285706,4.875205702714331,-5.6772480798500995,-11.730498326189396,-4.825295445763419,4.205240174672489,63.03930131004367,1.4759825327510918,2.8844570596797667
