model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_17,25,0.05,3.0,3000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
model_18,25,0.05,3.0,5000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
model_19,25,0.05,3.5,200,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_20,25,0.05,3.5,500,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_21,25,0.05,3.5,1000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_22,25,0.05,3.5,2000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_23,25,0.05,3.5,3000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_24,25,0.05,3.5,5000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.000868371802869617,0.0007939658594680427,0.0005526002381897559,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.824000000000012,5.824000000000012,0.25939716151638637,-5.675807694622764,-5.678209441347654,-11.351462716456824,0.004366812227074236,1.0,5.676855895196507,0.003039301310043659
model_25,25,0.05,4.0,200,229,5.681222707423581,1.0087336244541485,0.0012476606363069245,0.0007851944271158205,0.0007939658594680427,0.0004996691808918856,0.0,0.0007278020378457057,0.0,0.004366812227074236,6.224000000000018,6.224000000000018,0.25945153199644605,-5.6783971419389605,-5.683200635388743,-11.352851290410578,0.004366812227074236,1.0043668122270741,5.676855895196507,0.002748180494905373
model_26,25,0.05,4.0,500,229,5.681222707423581,1.0087336244541485,0.0012476606363069245,0.0007851944271158205,0.0007939658594680427,0.0004996691808918856,0.0,0.0007278020378457057,0.0,0.004366812227074236,6.224000000000018,6.224000000000018,0.25945153199644605,-5.6783971419389605,-5.683200635388743,-11.352851290410578,0.004366812227074236,1.0043668122270741,5.676855895196507,0.002748180494905373
