model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.005,50,1000,34,127232.0,2.8529411764705883,86.76470588235294,0.049978813670212126,0.04743215280791763,0.18019887256150668,0.17187833686780585,0.5658496732026144,0.6959150326797385,0.0196811455320223,0.02638696273814978,2.6082962962962988,3.5011481481481472,9.702054237187832,-5.7380040688157745,-12.753633756500546,-2.936071577914565,2.3529411764705883,82.29411764705883,0.5,2.241705882352941
model_12,0.005,50,2000,34,127232.0,2.8529411764705883,49.23529411764706,0.0790846502615522,0.061189270662935794,0.24967859772619624,0.19429883219285668,0.3573529411764706,0.6872549019607843,0.023084132511023727,0.04309293161641607,4.121851851851854,5.4213777777777805,5.509851387738194,-3.0844612454626814,-7.143762674231939,-1.7901046487251115,2.235294117647059,46.73529411764706,0.6176470588235294,1.7348235294117644
model_13,0.005,50,3000,34,127232.0,2.8529411764705883,34.8235294117647,0.08950811437842206,0.07069594713247679,0.2560117166321075,0.20827934705189946,0.3281045751633987,0.5911764705882353,0.024196822685351654,0.050265179342898154,3.950249999999999,5.0937833333333336,3.8905306841046277,-2.525662633067089,-5.392067684349881,-2.1806954015433404,1.8235294117647058,33.0,1.0294117647058822,1.4069607843137262
model_14,0.005,50,4000,34,127232.0,2.8529411764705883,27.176470588235293,0.08751701146507591,0.06252873781877032,0.22597946815457273,0.16655622123510996,0.2079248366013072,0.43700980392156863,0.02127888541712467,0.05072293684702851,4.515500000000008,5.287025000000004,3.037526630370458,-2.8868690953423743,-5.183916045760886,-3.2971691495448834,1.411764705882353,25.764705882352942,1.4411764705882353,0.9807450980392156
model_15,0.005,50,5000,34,127232.0,2.8529411764705883,22.235294117647058,0.09611367166837294,0.07207261412704138,0.23421043067148611,0.18489948497178182,0.2372549019607843,0.4334967320261438,0.025673711767062138,0.057215944044588525,4.026695652173917,4.775939130434786,2.4653897650609538,-2.5271359854099433,-4.397134976473893,-3.2097835487014983,1.3235294117647058,20.91176470588235,1.5294117647058822,0.9700588235294118
model_16,0.005,75,1000,34,127232.0,2.8529411764705883,100.79411764705883,0.049648735618525126,0.04810916730978002,0.1860750672231405,0.1799980175113611,0.7053104575163398,0.8431372549019608,0.021697264147929524,0.02602766732359178,2.630666666666671,3.579513333333336,11.269362498520534,-6.683980208957801,-15.137399439804971,-2.9278588288283345,2.588235294117647,95.58823529411765,0.2647058823529412,2.5077843137254905
model_17,0.005,75,2000,34,127232.0,2.8529411764705883,55.1764705882353,0.08111109805426144,0.0654339756491719,0.2647821158792918,0.21545387947028335,0.46045751633986925,0.8120915032679739,0.023782234777286613,0.04391819730466739,3.975400000000003,5.353453333333336,6.154805672268908,-3.267968942552578,-7.932173069099941,-1.465278643984779,2.4705882352941178,52.205882352941174,0.38235294117647056,1.97713725490196
model_18,0.005,75,3000,34,127232.0,2.8529411764705883,38.5,0.09037203113980041,0.05950663168147236,0.270765997953787,0.1798014693097459,0.29411764705882354,0.6916666666666667,0.02134270726277945,0.05017796121935164,5.035928571428575,6.440728571428578,4.303162726358148,-2.8580000914261334,-6.112605337831738,-2.171873938811567,2.0,36.5,0.8529411764705882,1.3062549019607843
model_19,0.005,75,4000,34,127232.0,2.8529411764705883,29.5,0.08359523763678128,0.05518586018236683,0.22623622475214608,0.14960545469025416,0.16772875816993463,0.4810457516339869,0.01514158190776,0.047944184316910526,5.197923076923076,6.118892307692308,3.307991330334951,-3.1584100147994194,-5.707810145201204,-3.4131217143044097,1.4411764705882353,28.058823529411764,1.411764705882353,0.9418823529411763
model_20,0.005,75,5000,34,127232.0,2.8529411764705883,23.91176470588235,0.08665294761409359,0.06152674599322891,0.21428853517247518,0.15334324154624138,0.24313725490196075,0.42263071895424836,0.027744295570719033,0.05157135725583698,4.548272727272728,5.9197818181818205,2.669972038111019,-2.8045606454654632,-4.862206101309514,-3.4227967410728497,1.2647058823529411,22.647058823529413,1.588235294117647,0.8921568627450979
model_21,0.005,100,1000,34,127232.0,2.8529411764705883,105.29411764705883,0.04774941817276047,0.04680724428982963,0.1803676302576262,0.17666924114444166,0.7854575163398693,0.857843137254902,0.02172138259062182,0.024998379921436737,1.839354838709679,2.5491806451612944,11.765214448455438,-7.13076703325306,-16.06052863564302,-3.1364744673521985,2.588235294117647,99.79411764705883,0.2647058823529412,2.538117647058823
model_22,0.005,100,2000,34,127232.0,2.8529411764705883,57.1764705882353,0.07969683583679266,0.06250856474232697,0.26344755749065407,0.20780969659029022,0.39558823529411763,0.8333333333333333,0.019669312828741892,0.043038067670951155,4.242266666666666,5.519380000000003,6.411400387619836,-3.4775585322119933,-8.384040135069744,-1.5243177307831177,2.5,54.38235294117647,0.35294117647058826,1.9541372549019602
model_23,0.005,100,3000,34,127232.0,2.8529411764705883,39.411764705882355,0.08665791631736264,0.06789762778920912,0.25864257290819,0.20532089115428523,0.3487745098039216,0.6475490196078431,0.02499624229399014,0.048180389064182365,3.686769230769236,5.157492307692312,4.41759009942005,-2.868357832457336,-6.232924249768547,-2.186074623801731,1.9411764705882353,37.470588235294116,0.9117647058823529,1.5059803921568626
model_24,0.005,100,4000,34,127232.0,2.8529411764705883,30.38235294117647,0.08940913987933742,0.06518081806900869,0.23541047767350048,0.17105022665552283,0.24624183006535946,0.4882352941176471,0.02338309896716295,0.05164970857108361,4.43008333333333,5.520849999999999,3.394678734169724,-2.8952144825913004,-5.52549392394655,-2.9624277030901456,1.588235294117647,28.794117647058822,1.2647058823529411,1.154588235294118
model_25,0.005,100,5000,34,127232.0,2.8529411764705883,24.470588235294116,0.08222220318467204,0.05464817495544353,0.20812158677283796,0.1401119319310898,0.20122549019607844,0.4123366013071895,0.01924710910005026,0.04844394167923578,4.542571428571434,5.552609523809531,2.7427894573322287,-3.0780738760951496,-5.206895841941848,-3.748957010818859,1.2058823529411764,23.264705882352942,1.6470588235294117,0.790941176470588
model_26,0.005,150,1000,34,127232.0,2.8529411764705883,108.6470588235294,0.04962011908584995,0.048624049654122224,0.1901356852120244,0.18615087773421218,0.8611928104575163,0.9640522875816994,0.022242896634300503,0.025911147711994,2.225818181818182,2.998327272727278,12.111964063794531,-7.1792357411477115,-16.443152478756335,-2.870806784108106,2.764705882352941,102.73529411764706,0.08823529411764706,2.7115686274509803
model_27,0.005,150,2000,34,127232.0,2.8529411764705883,58.411764705882355,0.08137647260512998,0.06369503898133057,0.27248044064547633,0.21665038418836202,0.48962418300653593,0.9042483660130719,0.02015856960653536,0.04383196069987988,3.9119999999999995,5.370843749999994,6.518892768374956,-3.4254986879146063,-8.435648544643197,-1.3321884654326641,2.588235294117647,55.294117647058826,0.2647058823529412,2.0174509803921574
model_28,0.005,150,3000,34,127232.0,2.8529411764705883,40.088235294117645,0.08008731386025228,0.05025272338400194,0.2401594484871237,0.14733066454156513,0.20857843137254903,0.6443627450980391,0.018658048874733817,0.04456591671230035,5.7293999999999965,6.799726666666663,4.511212495561605,-3.3580923571585104,-6.806745803603354,-2.7514126927596187,1.8235294117647058,38.26470588235294,1.0294117647058822,1.1474705882352947
model_29,0.005,150,4000,34,127232.0,2.8529411764705883,30.676470588235293,0.0818355167555726,0.053894213502410526,0.2162326916444066,0.1377035219756546,0.11609477124183006,0.44460784313725493,0.015368833017077796,0.04719204617330802,5.5633913043478325,6.62449565217392,3.4432236803171974,-3.2189876699386732,-5.894552719412647,-3.3812051452016867,1.4705882352941178,29.205882352941178,1.3823529411764706,0.9740196078431367
model_30,0.005,150,5000,34,127232.0,2.8529411764705883,24.705882352941178,0.07696664905713521,0.05238386428242427,0.191558732304507,0.13309593633233305,0.16037581699346404,0.3697712418300654,0.018915643180349058,0.0456280505513242,4.429090909090909,5.697790909090911,2.777464418866138,-3.2084602184350293,-5.36963466988224,-3.921990639770247,1.1470588235294117,23.558823529411764,1.7058823529411764,0.7694509803921572
model_31,0.005,200,1000,34,127232.0,2.8529411764705883,109.47058823529412,0.04863611303923955,0.04769354321830202,0.18657860769743323,0.18311933791944926,0.8644607843137254,0.9493464052287582,0.021880515748774615,0.025388267829747777,2.2430909090909075,2.9895333333333376,12.254131406083559,-7.367137685695518,-16.757755184686538,-3.024770112670598,2.735294117647059,103.94117647058823,0.11764705882352941,2.681274509803922
model_32,0.005,200,2000,34,127232.0,2.8529411764705883,58.76470588235294,0.08123235649796842,0.06237785299455706,0.27275103238377607,0.2096071445477741,0.5044117647058823,0.9215686274509803,0.02219205319578558,0.043740000389200104,4.284000000000001,5.409666666666667,6.57090521067582,-3.49672895457937,-8.552062792859907,-1.380826741321454,2.588235294117647,55.73529411764706,0.2647058823529412,1.9873137254901962
model_33,0.005,200,3000,34,127232.0,2.8529411764705883,40.44117647058823,0.08101564586933085,0.05237302859186921,0.24290112292760416,0.1577702484301979,0.24656862745098038,0.6519607843137255,0.018681522673254146,0.04509050534403549,4.925310344827582,6.382965517241375,4.549354953248905,-3.332701655400775,-6.823407814305567,-2.6755838700660255,1.8529411764705883,38.588235294117645,1.0,1.192137254901961
model_34,0.005,200,4000,34,127232.0,2.8529411764705883,30.794117647058822,0.07914267047401666,0.057971333278367246,0.20205691078325888,0.14927567367364178,0.15604575163398693,0.39044117647058824,0.017208168330445778,0.04600125814701756,4.2092380952380966,5.4802380952381,3.460561161084152,-3.214029985675087,-5.905770755827199,-3.397571365304914,1.4411764705882353,29.352941176470587,1.411764705882353,1.0509607843137252
model_35,0.005,200,5000,34,127232.0,2.8529411764705883,24.735294117647058,0.08835764949074236,0.06706783186181862,0.22599832488809912,0.17290722698518218,0.23316993464052288,0.4511437908496732,0.02767365245693418,0.052021314598713966,3.846416666666661,4.908533333333328,2.7635944342525742,-2.8309857141765806,-4.979218926619739,-3.403927931484413,1.2941176470588236,23.441176470588236,1.5588235294117647,0.9726470588235294
model_36,0.005,250,1000,34,127232.0,2.8529411764705883,110.20588235294117,0.04865467103240116,0.04759794036049483,0.18638453521251397,0.1828933446635589,0.8842320261437909,0.9493464052287582,0.021857915732902352,0.025407708644449186,2.0726060606060606,2.741454545454544,12.326948825304768,-7.374641641840701,-16.828649985397025,-2.9711668818272456,2.735294117647059,104.55882352941177,0.11764705882352941,2.672235294117647
model_37,0.005,250,2000,34,127232.0,2.8529411764705883,59.14705882352941,0.08188960677110108,0.06432914286957825,0.2752817091743813,0.22010345622580638,0.5154411764705882,0.9336601307189543,0.021144082543559598,0.044085019623668564,4.033696969696972,5.385284848484853,6.619450156823293,-3.4647487156070853,-8.565387142236487,-1.2967824434688549,2.6176470588235294,56.14705882352941,0.23529411764705882,2.0479019607843125
model_38,0.005,250,3000,34,127232.0,2.8529411764705883,40.55882352941177,0.08969872165440959,0.06088454952455947,0.27408019043969617,0.18947993433177202,0.32009803921568625,0.7392156862745098,0.018494772438496974,0.04955702761239339,4.690827586206899,5.900427586206898,4.542419960942123,-2.976170529495109,-6.453960705771974,-2.1490401472390293,2.0294117647058822,38.529411764705884,0.8235294117647058,1.3593333333333333
model_39,0.005,250,4000,34,127232.0,2.8529411764705883,31.029411764705884,0.08697277458565329,0.06126679854831485,0.2331674881553637,0.16562318331391848,0.1974673202614379,0.4985294117647059,0.018222248576850085,0.050047438330170765,4.737360000000006,5.674152000000007,3.4744311456977157,-3.045822620750911,-5.750507902982144,-3.105244685517647,1.5588235294117647,29.470588235294116,1.2941176470588236,1.0913921568627443
model_40,0.005,250,5000,34,127232.0,2.8529411764705883,24.794117647058822,0.08400010569799374,0.07007009019239858,0.21760500454809376,0.18697273003097595,0.3309640522875817,0.46168300653594774,0.030844645550527898,0.049490950226244335,3.3318518518518436,4.020733333333326,2.777464418866138,-2.8334568325262866,-4.9913958511861685,-3.4309579114316398,1.2352941176470589,23.558823529411764,1.6176470588235294,1.0153921568627455
model_41,0.005,300,1000,34,127232.0,2.8529411764705883,112.41176470588235,0.048305667022515375,0.046792276893832384,0.184843012927766,0.17973847953005628,0.8925653594771241,0.9526143790849673,0.021513930976066787,0.02523461599393733,2.2502424242424204,2.876939393939389,12.566206059888744,-7.587480368303498,-17.278324822996584,-3.0361757880157803,2.764705882352941,106.58823529411765,0.08823529411764706,2.6744509803921566
model_42,0.005,300,2000,34,127232.0,2.8529411764705883,60.05882352941177,0.08173478452550234,0.060556587673501146,0.2750799123272995,0.20526637157284736,0.42401960784313725,0.9395424836601307,0.017517487578756465,0.04399632043687513,4.3669696969697025,5.787509090909096,6.706137560658066,-3.5772998171025012,-8.75275215696027,-1.3425148236442055,2.6470588235294117,56.88235294117647,0.20588235294117646,1.955549019607842
model_43,0.005,300,3000,34,127232.0,2.8529411764705883,40.94117647058823,0.0950340176483751,0.06606932716425803,0.2905242567880563,0.20295449867078527,0.36813725490196075,0.7995098039215687,0.02200962689805851,0.052595911476074564,4.7125,5.659812499999998,4.57015993016925,-2.7176549684572007,-6.221312447631264,-1.7305321112231102,2.176470588235294,38.76470588235294,0.6764705882352942,1.5123921568627452
