model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.005,25,4000,229,180554.47598253275,5.681222707423581,31.192139737991265,0.18874216517805925,0.1272937889210833,0.31482847722593216,0.214644694495969,0.20861030184816465,0.44932243741645234,0.07454920625233977,0.14841553922284653,5.224041450777204,6.4150518134715036,2.6535399790254615,-5.119201150595096,-7.767836952085004,-7.5678090140422825,2.314410480349345,28.87772925764192,3.3668122270742358,1.5194759825327517
model_12,0.005,25,5000,229,180554.47598253275,5.681222707423581,26.117903930131003,0.16326657699715078,0.10608896966289112,0.2523930596834943,0.16590454096876397,0.16931499017294033,0.3448341555553217,0.07261764488898827,0.1383408145289545,5.349260115606936,6.304815028901735,2.2164096524742805,-5.278981505840967,-7.50299779242344,-8.293610917134885,1.8427947598253276,24.275109170305676,3.8384279475982535,1.1893071324599709
model_13,0.005,50,500,229,180554.47598253275,5.681222707423581,148.20960698689956,0.1309377011296216,0.12557405418896442,0.34051550515304857,0.3284564700674459,0.8593606767123336,0.9301832568208114,0.05923612215151246,0.078560398677831,1.7929035087719256,3.1792605263157854,14.244176944167203,-9.853114305046166,-21.77351094640762,-5.3994662027060505,5.135371179039302,135.17903930131004,0.5458515283842795,4.897877729257641
model_14,0.005,50,1000,229,180554.47598253275,5.681222707423581,95.93449781659389,0.17497383242674266,0.15976666148656127,0.4151418776664858,0.38229783069946655,0.7091370355819366,0.9163076937190731,0.07243240816348141,0.10886651714581774,2.9004210526315752,4.471075438596487,8.727380011165108,-6.2933744616417515,-14.21979484814673,-4.011386975812844,5.013100436681222,87.97379912663756,0.6681222707423581,4.5591673944687034
model_15,0.005,50,2000,229,180554.47598253275,5.681222707423581,59.1528384279476,0.21889369561681446,0.16394153445945572,0.4594853367892439,0.34509389841160665,0.430995945216983,0.8304873751701392,0.07565642087053602,0.1448734637616279,4.598651982378848,6.484981497797351,5.104568392232414,-4.4896824329965055,-9.487086399333382,-4.156919314456889,4.3056768558951966,54.55458515283843,1.3755458515283843,3.1517234352256187
model_16,0.005,50,3000,229,180554.47598253275,5.681222707423581,43.30567685589519,0.20558542869421148,0.13958732371316718,0.38700119359475854,0.2606818484862892,0.28480482292773585,0.6265467247454147,0.07094838789737985,0.14538290518921265,5.153879629629626,6.7899490740740704,3.658360036618339,-4.603922703304735,-8.282296892392667,-5.681766176446359,3.2620087336244543,40.043668122270745,2.4192139737991267,2.238430858806404
model_17,0.005,50,4000,229,180554.47598253275,5.681222707423581,34.34061135371179,0.19334994485341797,0.13283551309704583,0.3305140739371723,0.22541457957531771,0.22643897936410134,0.4917274544104752,0.074240342223262,0.14573620346206917,5.250747572815533,6.466854368932037,2.856697003036057,-4.905327672209079,-7.837845389025871,-6.954352656595445,2.541484716157205,31.799126637554586,3.1397379912663754,1.6993420669577868
model_18,0.005,50,5000,229,180554.47598253275,5.681222707423581,28.45414847161572,0.1782440801178791,0.11617402647271684,0.27948793643466013,0.18313608385845198,0.18429967441012907,0.39033594056712473,0.0658490785977311,0.14254215591403535,5.40052127659574,6.571720212765954,2.3519012222275952,-5.16956861549426,-7.604457545849942,-7.904089215818601,2.034934497816594,26.419213973799128,3.646288209606987,1.329152838427947
model_19,0.005,75,500,229,180554.47598253275,5.681222707423581,167.83842794759826,0.1244875147626178,0.12217418915547729,0.33611411662554747,0.33060604823023915,0.904777896490586,0.9584737678624141,0.057312867159059804,0.07301087884914743,1.6253421052631527,2.8379859649122765,15.480719876582782,-11.116923116788362,-24.81714151241971,-5.511355403688847,5.3755458515283845,153.19213973799125,0.3056768558951965,5.2412692867540045
model_20,0.005,75,1000,229,180554.47598253275,5.681222707423581,105.85589519650655,0.17355404977995,0.1622377164694907,0.42195747145176776,0.39827553115156006,0.7757718599293221,0.9529441810009496,0.07451075713588214,0.10611028563615542,2.602482456140348,4.116664035087717,9.27491644380667,-6.747717971029863,-15.602577777988257,-3.7744365391663877,5.314410480349345,97.11353711790393,0.36681222707423583,4.940905385735081
model_21,0.005,75,2000,229,180554.47598253275,5.681222707423581,63.532751091703055,0.22140983107354031,0.1634009139604104,0.47432828186755294,0.3509106865383873,0.4335381453606473,0.8672219534183315,0.07513142036059547,0.1434377735215599,4.706447368421046,6.711173684210524,5.319917718400931,-4.4465214218443325,-9.857885538842503,-3.631669057668392,4.593886462882096,58.60698689956332,1.0873362445414847,3.3481717612809323
model_22,0.005,75,3000,229,180554.47598253275,5.681222707423581,46.1703056768559,0.20696743131363987,0.14191402850399243,0.3996359879553016,0.2756164134989215,0.32719442415049915,0.6574656566854101,0.07126508165479874,0.14328383659897684,5.0862805429864215,6.754295022624429,3.8030169730568484,-4.648050532646859,-8.608854640203367,-5.449307867514893,3.432314410480349,42.737991266375545,2.2489082969432315,2.357915574963611
model_23,0.005,75,4000,229,180554.47598253275,5.681222707423581,36.29257641921397,0.1882024371923231,0.1243826933695429,0.32726649856394197,0.21803478691175723,0.2234738079941008,0.48940383224675543,0.06840432587297661,0.1389247370680568,5.484579710144924,6.805289855072461,2.96618143260444,-4.921431900769957,-8.039365228461921,-6.759845149587732,2.6550218340611353,33.63755458515284,3.0262008733624453,1.7315574963609919
model_24,0.005,75,5000,229,180554.47598253275,5.681222707423581,29.87772925764192,0.18969755087255316,0.12821604638666578,0.30301696661578115,0.20554570885339013,0.1889517580629833,0.4236764819220509,0.06442539813320598,0.1485018905296474,5.156474747474744,6.315867676767677,2.395629674499487,-5.070704986955622,-7.641052419159417,-7.62395921845198,2.1703056768558953,27.707423580786028,3.510917030567686,1.4614235807860267
model_25,0.005,100,500,229,180554.47598253275,5.681222707423581,180.1353711790393,0.11761834807238045,0.1160617778016368,0.32503084578452546,0.3211460991008204,0.9126901928308299,0.9616521275909922,0.05413813339341404,0.06824024399092136,1.5293537117903897,2.6984113537117853,16.295638792270996,-12.284174782213906,-27.143583261617714,-6.138313337271827,5.388646288209607,164.82532751091702,0.2925764192139738,5.290637554585153
model_26,0.005,100,1000,229,180554.47598253275,5.681222707423581,111.90393013100437,0.1651014772234605,0.15744377755347524,0.40968326450807696,0.3929809503498265,0.792087857984981,0.9518165362051825,0.07131805586352633,0.09998133743808722,2.5235196506550177,3.9836305676855863,9.677626676744765,-7.270345185276956,-16.719096894986574,-3.9957509898107957,5.310043668122271,102.91266375545851,0.37117903930131,5.017671033478893
model_27,0.005,100,2000,229,180554.47598253275,5.681222707423581,66.36244541484716,0.21613173066872635,0.15774535224831407,0.47085788431211134,0.3471455351462412,0.40553014072150984,0.8789355209821432,0.06785090942639861,0.13893301471516784,4.798026200873361,6.675686462882093,5.474971745349245,-4.6387982837417585,-10.33406083300841,-3.642695393387909,4.633187772925764,61.36244541484716,1.0480349344978166,3.3509694323144106
model_28,0.005,100,3000,229,180554.47598253275,5.681222707423581,47.633187772925766,0.2084248508121517,0.13832088342295798,0.4049883295318833,0.2725452616781875,0.31281144362957874,0.6630932286596298,0.06524913613071645,0.14338150290219662,5.085388127853884,6.815796347031971,3.86921063081585,-4.725621864412002,-8.834354162789392,-5.404880169371777,3.493449781659389,44.13973799126637,2.1877729257641922,2.391082969432314
model_29,0.005,100,4000,229,180554.47598253275,5.681222707423581,37.29694323144105,0.1861062554213592,0.1252098222824471,0.3262551131242719,0.22173942139130012,0.22317889035073726,0.48436942584772025,0.06648779821603354,0.1366145258998132,5.338189054726372,6.682086567164179,3.0235261749503985,-5.07986294940885,-8.307794663775232,-6.911311939387231,2.606986899563319,34.68995633187773,3.074235807860262,1.757522561863173
model_30,0.005,100,5000,229,180554.47598253275,5.681222707423581,30.69868995633188,0.18410644700324075,0.12716406831497692,0.2980911239218289,0.20650933642636662,0.19237761197047093,0.41110879516350873,0.06925234622631728,0.14338721705070898,5.272113989637297,6.461019689119165,2.449729911654239,-5.223618079156155,-7.881869417557152,-7.763488043143427,2.1528384279475983,28.54585152838428,3.5283842794759823,1.4305094614264922
model_31,0.005,150,500,229,180554.47598253275,5.681222707423581,194.0349344978166,0.11847641401654554,0.11695326019677404,0.32851986102338004,0.32496213807081575,0.9445565251884286,0.975344003400772,0.05443551983224366,0.06858280221935285,1.532890829694323,2.5819938864628837,16.61755853809807,-13.511539844213729,-29.82910491587282,-6.514329360785932,5.489082969432315,178.2008733624454,0.19213973799126638,5.404497816593886
model_32,0.005,150,1000,229,180554.47598253275,5.681222707423581,119.29257641921397,0.16757504263180473,0.1591493781608538,0.41526668435396863,0.39696129280356013,0.7765107217040174,0.9653039342995674,0.0722200625508323,0.1014535617308863,2.5501310043668135,3.9656113537117923,9.787410703751373,-7.900967938269628,-18.12157246619781,-4.161844713606847,5.423580786026201,110.0,0.2576419213973799,5.12680349344978
model_33,0.005,150,2000,229,180554.47598253275,5.681222707423581,69.79475982532752,0.2165379548164908,0.15768906717366765,0.4727485020850346,0.34734661272914974,0.4361566402601594,0.88411122156948,0.06898056604515981,0.1386717927839326,4.756649122807016,6.7354938596491225,5.571243654753592,-5.019185575170504,-11.086132082705078,-3.8154066445473225,4.685589519650655,64.79475982532752,0.9956331877729258,3.389377001455603
model_34,0.005,150,3000,229,180554.47598253275,5.681222707423581,50.082969432314414,0.21402482333650807,0.1448167966481598,0.42085026892318517,0.29107719812452243,0.32706617418600464,0.6916021024099627,0.06899728946122213,0.14607903438986966,5.140090090090089,6.854911711711711,3.9340423604176746,-4.801331554158575,-9.161779289256085,-5.232461398400214,3.62882096069869,46.45414847161572,2.052401746724891,2.437828238719068
model_35,0.005,150,4000,229,180554.47598253275,5.681222707423581,38.995633187772924,0.18788631932889452,0.12569020177788118,0.32796394503447956,0.2219874285649495,0.22996285545091094,0.489194747941216,0.06866951761308801,0.1375899870640252,5.302833333333332,6.641453921568627,3.0724393312763594,-5.249556951871729,-8.65905792236286,-6.968387252652363,2.62882096069869,36.366812227074234,3.052401746724891,1.739289665211062
model_36,0.005,150,5000,229,180554.47598253275,5.681222707423581,31.912663755458514,0.1895174871210773,0.12699694942027756,0.3081947735721486,0.2081666794822577,0.20191905520058614,0.42981161316635247,0.07030925072962725,0.14742169026629,5.308753768844219,6.539262311557787,2.4746295425144793,-5.16453593627433,-7.944796129289601,-7.538597979504686,2.2401746724890828,29.67248908296943,3.441048034934498,1.488934497816593
model_37,0.005,200,500,229,180554.47598253275,5.681222707423581,208.7947598253275,0.11837424671927194,0.11617158996360205,0.3276126124629639,0.3224096583878647,0.9434179054812243,0.9814890228645686,0.05375547342149417,0.06864680169751841,1.4589956331877696,2.679863755458512,17.018909943013373,-14.96682314693924,-32.83488737999575,-7.141961336087838,5.528384279475983,192.47161572052403,0.15283842794759825,5.431068413391559
