model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,10.0,0.005,0.99,200,2000,34,127232.0,2.8529411764705883,60.088235294117645,0.08344532895821183,0.06835943469878905,0.27900586760055274,0.2287687536251282,0.5056372549019608,0.9660130718954247,0.02512119222901385,0.045054799586567384,3.9741176470588204,5.284029411764705,6.695735072197893,-3.378401964522497,-8.572845203653344,-1.1047097567217792,2.6470588235294117,56.794117647058826,0.20588235294117646,2.1668039215686274
model_12,10.0,0.005,0.99,200,4000,34,127232.0,2.8529411764705883,31.235294117647058,0.09650885304948938,0.06311236085510394,0.2559498318645857,0.15966957650950328,0.1366830065359477,0.5409313725490196,0.018246532483961322,0.05576912216499502,5.841615384615382,6.890292307692308,3.4778986418511066,-2.7815341751267812,-5.492701613782649,-2.6612445734459067,1.7352941176470589,29.5,1.1176470588235294,1.1455882352941187
model_13,10.0,0.005,0.9999,10,500,34,127232.0,2.8529411764705883,232.6764705882353,0.025593182930273187,0.025087030898958553,0.10929750699103022,0.10702507019019407,0.9416666666666667,1.0,0.011640497012946515,0.013097558549493295,1.3130000000000013,2.1054764705882394,26.037428615812523,-17.974455672543385,-38.295901312151045,-7.960791676268968,2.8529411764705883,220.85294117647058,0.0,2.7983529411764705
model_14,10.0,0.005,0.9999,10,1000,34,127232.0,2.8529411764705883,121.58823529411765,0.04709900876735198,0.04548812972685172,0.18184877172106398,0.17579301494388705,0.9259803921568628,1.0,0.0210077653563839,0.02456719902153129,2.305176470588234,3.154505882352947,13.602987409752632,-8.435305679755757,-19.06122364140387,-3.3576408165787583,2.8529411764705883,115.38235294117646,0.0,2.7546470588235286
model_15,10.0,0.005,0.9999,10,2000,34,127232.0,2.8529411764705883,62.529411764705884,0.08192835597857731,0.06212508861757532,0.27679822618364414,0.21038827985703917,0.43995098039215685,0.9754901960784313,0.01782597795786084,0.04408259836207739,4.402058823529415,5.4810588235294135,7.004342229849686,-3.7057370687221702,-9.158710080506081,-1.273368209889039,2.735294117647059,59.411764705882355,0.11764705882352941,2.0727647058823524
model_16,10.0,0.005,0.9999,10,4000,34,127232.0,2.8529411764705883,31.970588235294116,0.09019529268706412,0.0639243055719509,0.2495068860946334,0.1775439757748182,0.23929738562091504,0.5698529411764706,0.02022058823529412,0.051470588235294115,4.812307692307688,6.010530769230768,3.5749885341460526,-2.9716653332907885,-5.770173262385868,-2.8959407805079547,1.6470588235294117,30.323529411764707,1.2058823529411764,1.1670588235294117
model_17,10.0,0.005,0.9999,50,500,34,127232.0,2.8529411764705883,224.8235294117647,0.02671123062688636,0.026256682516109096,0.11302447468853598,0.11100756174068015,0.9563725490196078,1.0,0.012264657598723942,0.013693652866823848,1.4301764705882398,2.117129411764712,25.156684592851224,-17.24687041672525,-36.85189888168119,-7.5914150077766935,2.8529411764705883,213.38235294117646,0.0,2.806921568627451
model_18,10.0,0.005,0.9999,50,1000,34,127232.0,2.8529411764705883,119.02941176470588,0.047517012187826356,0.045898394738710116,0.18304044051157314,0.1769902574448516,0.8818627450980392,0.9967320261437908,0.02100267325585375,0.02479990134566723,2.7151176470588267,3.557711764705885,13.342925198248313,-8.260716335468084,-18.677464979080494,-3.3170478960148215,2.823529411764706,113.17647058823529,0.029411764705882353,2.728274509803921
model_19,10.0,0.005,0.9999,50,2000,34,127232.0,2.8529411764705883,61.6764705882353,0.08320756869474621,0.060726500613072776,0.2812773837915379,0.20458343465094167,0.38227124183006533,0.9869281045751634,0.018747845666587038,0.04476404746808224,5.026999999999998,6.140794117647059,6.90725233755474,-3.6102749289182614,-8.979493712672207,-1.1903714193942292,2.735294117647059,58.588235294117645,0.11764705882352941,1.9922549019607856
model_20,10.0,0.005,0.9999,50,4000,34,127232.0,2.8529411764705883,31.735294117647058,0.08866002017819646,0.061875865308114515,0.24016128752981522,0.16495841848570933,0.18341503267973855,0.5247549019607842,0.0205232120656939,0.05097269024406202,5.109039999999994,6.578151999999999,3.550716061072316,-3.0142107891715173,-5.7900761169263015,-2.9792193017647124,1.6176470588235294,30.11764705882353,1.2352941176470589,1.1329411764705886
model_21,10.0,0.005,0.9999,200,500,34,127232.0,2.8529411764705883,212.2058823529412,0.02857005617749463,0.02821838896783345,0.11943286306770293,0.11799048080545621,0.94281045751634,1.0,0.012715281942601112,0.014678223341946224,1.3694117647058817,2.2525470588235286,23.73501116996094,-16.145519940375763,-34.59446925103368,-7.126927637987981,2.8529411764705883,201.3235294117647,0.0,2.8184117647058824
model_22,10.0,0.005,0.9999,200,1000,34,127232.0,2.8529411764705883,114.82352941176471,0.0491435552719565,0.04755024116267157,0.18654278023718804,0.18134656124580556,0.85,0.9820261437908496,0.020930176645286267,0.02573260947308045,2.5282352941176494,3.217229411764708,12.847073248313409,-7.898703948596496,-17.925924834914316,-3.1792111524964084,2.7941176470588234,108.97058823529412,0.058823529411764705,2.705803921568627
model_23,10.0,0.005,0.9999,200,2000,34,127232.0,2.8529411764705883,60.088235294117645,0.08337881660021572,0.06845721232797827,0.27887620896580634,0.2294625649204368,0.5056372549019608,0.9660130718954247,0.02512119222901385,0.045015915709378226,3.9130000000000007,5.194164705882355,6.699202568351284,-3.3803642260553532,-8.577973686583496,-1.1050889075559873,2.6470588235294117,56.8235294117647,0.20588235294117646,2.1708235294117646
model_24,10.0,0.005,0.9999,200,4000,34,127232.0,2.8529411764705883,31.264705882352942,0.09638334054007593,0.06305002715917891,0.25587624112720647,0.15967328879829384,0.1366830065359477,0.5409313725490196,0.01817408971374979,0.05566045800967772,5.827153846153843,6.888184615384616,3.4813661380044976,-2.7826628617124376,-5.497065594082086,-2.6607556131746724,1.7352941176470589,29.529411764705884,1.1176470588235294,1.1461568627450993
model_25,10.0,0.01,0.99,10,500,34,127232.0,2.8529411764705883,232.5,0.02561443882917334,0.025108286797858707,0.10936708203888275,0.10709464523804661,0.9416666666666667,1.0,0.011645466290921582,0.013108902514863798,1.3358823529411796,2.1757117647058872,26.016623638892177,-17.95888512805403,-38.26338775224302,-7.953692639488943,2.8529411764705883,220.6764705882353,0.0,2.7983529411764705
model_26,10.0,0.01,0.99,10,1000,34,127232.0,2.8529411764705883,121.58823529411765,0.04705202247564329,0.04509241168284829,0.18170649676230774,0.17453247948093514,0.9259803921568628,1.0,0.0210077653563839,0.024541885319600377,2.3795882352941184,3.189558823529418,13.613389898212807,-8.43772012698135,-19.07237732641312,-3.355685644912527,2.8529411764705883,115.47058823529412,0.0,2.7320784313725484
