model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_17,25,0.05,3.0,3000,34,2.8529411764705883,1.0294117647058822,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,3.0360000000000014,3.0360000000000014,0.1178948692152917,-2.8181441051947456,-2.8407911640182752,-5.630349987547687,0.029411764705882353,1.0,2.823529411764706,0.029411764705882353
model_18,25,0.05,3.0,5000,34,2.8529411764705883,1.0,0.0196078431372549,0.0196078431372549,0.01547987616099071,0.01547987616099071,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.029411764705882353,3.0360000000000014,3.0360000000000014,0.11442737306190078,-2.814908811077099,-2.8343205757829812,-5.628732340488863,0.029411764705882353,0.9705882352941176,2.823529411764706,0.029411764705882353
model_19,25,0.05,3.5,200,34,2.8529411764705883,1.0588235294117647,0.0392156862745098,0.030784313725490203,0.03580562659846548,0.027374254049445868,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.058823529411764705,4.865333333333335,4.865333333333335,0.11442737306190078,-2.7110318606971058,-2.7304436254029882,-5.466031860697107,0.08823529411764706,0.9705882352941176,2.764705882352941,0.07137254901960785
model_20,25,0.05,3.5,500,34,2.8529411764705883,1.0588235294117647,0.0392156862745098,0.030784313725490203,0.03580562659846548,0.027374254049445868,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.058823529411764705,4.865333333333335,4.865333333333335,0.11442737306190078,-2.7110318606971058,-2.7304436254029882,-5.466031860697107,0.08823529411764706,0.9705882352941176,2.764705882352941,0.07137254901960785
model_21,25,0.05,3.5,1000,34,2.8529411764705883,1.0588235294117647,0.0392156862745098,0.030784313725490203,0.03580562659846548,0.027374254049445868,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.058823529411764705,4.865333333333335,4.865333333333335,0.11442737306190078,-2.7110318606971058,-2.7304436254029882,-5.466031860697107,0.08823529411764706,0.9705882352941176,2.764705882352941,0.07137254901960785
model_22,25,0.05,3.5,2000,34,2.8529411764705883,1.0588235294117647,0.0392156862745098,0.030784313725490203,0.03580562659846548,0.027374254049445868,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.058823529411764705,4.865333333333335,4.865333333333335,0.11442737306190078,-2.7110318606971058,-2.7304436254029882,-5.466031860697107,0.08823529411764706,0.9705882352941176,2.764705882352941,0.07137254901960785
model_23,25,0.05,3.5,3000,34,2.8529411764705883,1.0588235294117647,0.0392156862745098,0.030784313725490203,0.03580562659846548,0.027374254049445868,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.058823529411764705,4.865333333333335,4.865333333333335,0.11442737306190078,-2.7110318606971058,-2.7304436254029882,-5.466031860697107,0.08823529411764706,0.9705882352941176,2.764705882352941,0.07137254901960785
model_24,25,0.05,3.5,5000,34,2.8529411764705883,1.0294117647058822,0.04411764705882353,0.033205882352941175,0.03657962040651501,0.027756606990622344,0.0058823529411764705,0.03529411764705882,0.029411764705882353,0.07352941176470588,4.865333333333335,4.865333333333335,0.11095987690850984,-2.7077965665794586,-2.7239730371676942,-5.464414213638283,0.08823529411764706,0.9411764705882353,2.764705882352941,0.07137254901960785
model_25,25,0.05,4.0,200,34,2.8529411764705883,1.0294117647058822,0.03627450980392157,0.024245098039215648,0.029048869841708715,0.018189569364761127,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.07352941176470588,5.610666666666664,5.610666666666664,0.11095987690850984,-2.710072651737406,-2.723013828207994,-5.468307945855052,0.08823529411764706,0.9411764705882353,2.764705882352941,0.062372549019607794
model_26,25,0.05,4.0,500,34,2.8529411764705883,1.0294117647058822,0.03627450980392157,0.024245098039215648,0.029048869841708715,0.018189569364761127,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.07352941176470588,5.610666666666664,5.610666666666664,0.11095987690850984,-2.710072651737406,-2.723013828207994,-5.468307945855052,0.08823529411764706,0.9411764705882353,2.764705882352941,0.062372549019607794
model_27,25,0.05,4.0,1000,34,2.8529411764705883,1.0294117647058822,0.03627450980392157,0.024245098039215648,0.029048869841708715,0.018189569364761127,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.07352941176470588,5.610666666666664,5.610666666666664,0.11095987690850984,-2.710072651737406,-2.723013828207994,-5.468307945855052,0.08823529411764706,0.9411764705882353,2.764705882352941,0.062372549019607794
model_28,25,0.05,4.0,2000,34,2.8529411764705883,1.0294117647058822,0.03627450980392157,0.024245098039215648,0.029048869841708715,0.018189569364761127,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.07352941176470588,5.610666666666664,5.610666666666664,0.11095987690850984,-2.710072651737406,-2.723013828207994,-5.468307945855052,0.08823529411764706,0.9411764705882353,2.764705882352941,0.062372549019607794
model_29,25,0.05,4.0,3000,34,2.8529411764705883,1.0294117647058822,0.03627450980392157,0.024245098039215648,0.029048869841708715,0.018189569364761127,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.07352941176470588,5.610666666666664,5.610666666666664,0.11095987690850984,-2.710072651737406,-2.723013828207994,-5.468307945855052,0.08823529411764706,0.9411764705882353,2.764705882352941,0.062372549019607794
model_30,25,0.05,4.0,5000,34,2.8529411764705883,1.0,0.041176470588235294,0.02633986928104568,0.02982286364975825,0.018520322718734293,0.0058823529411764705,0.027941176470588233,0.029411764705882353,0.08823529411764706,5.610666666666664,5.610666666666664,0.1074923807551189,-2.706837357619759,-2.7165432399727,-5.46669029879623,0.08823529411764706,0.9117647058823529,2.764705882352941,0.062372549019607794
