model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.005,50,1000,22,525000.0,26.90909090909091,300.59090909090907,0.10514205384932067,0.08690554531199556,0.2766405532656274,0.2414516977048108,0.652336454159072,0.7799198957488925,0.048413713843230004,0.06416753848519423,2.5992727272727083,5.369681818181804,7.805194805194805,-27.371360116406038,-50.366043263152235,-30.146745815760212,17.363636363636363,273.1818181818182,9.545454545454545,14.118484848484856
model_12,0.005,50,2000,22,525000.0,26.90909090909091,172.54545454545453,0.13368645151877842,0.09493774620116656,0.3160314897024874,0.23245454907160656,0.406235705983527,0.6998700527939102,0.05071614538454568,0.08652361555365241,4.169909090909083,7.090245454545444,4.468831168831169,-21.46664791858129,-34.977837022799754,-30.62014427556297,14.454545454545455,156.4090909090909,12.454545454545455,9.916212121212135
model_13,0.005,50,3000,22,525000.0,26.90909090909091,122.95454545454545,0.1286589567029135,0.08506162430127134,0.2732786252727347,0.1882008711092807,0.31453163921719735,0.5510920995381533,0.05364489676276223,0.08942478534622395,4.44027272727271,7.693281818181817,3.2038961038961045,-22.816080166968842,-32.61568151506838,-36.46173403837361,10.818181818181818,112.13636363636364,16.09090909090909,6.879606060606076
model_14,0.005,50,4000,22,525000.0,26.90909090909091,96.54545454545455,0.13129774144037853,0.09032918597792551,0.25770945012504676,0.1837815939991468,0.26057046108112475,0.4426250739349051,0.05338710805076052,0.09453429975427265,4.005818181818155,6.9135363636363545,2.5012987012987016,-22.804556817150253,-30.489510338384495,-38.82571642016949,9.0,87.54545454545455,17.90909090909091,5.903515151515165
model_15,0.005,50,5000,22,525000.0,26.90909090909091,79.13636363636364,0.12382268809148726,0.08283104965147467,0.23352799294579188,0.16232780422598617,0.24911668742352955,0.39604688157900153,0.05364765258335616,0.0933810454858849,4.571909090909081,7.060181818181792,2.0571428571428574,-24.531011834604836,-30.921006658919893,-42.9269235133564,7.136363636363637,72.0,19.772727272727273,4.491242424242436
model_16,0.005,75,1000,22,525000.0,26.90909090909091,348.6818181818182,0.1068232909113815,0.08775580161893735,0.29083022359389354,0.2528979162181436,0.6307704972909846,0.8521852541061652,0.04690430362266043,0.06350258029896462,3.034363636363621,5.724872727272693,9.053246753246754,-27.528164282742978,-55.09125063828348,-25.337530195881815,20.454545454545453,316.8636363636364,6.454545454545454,16.488242424242454
model_17,0.005,75,2000,22,525000.0,26.90909090909091,196.4090909090909,0.13525045815225065,0.09159436394398476,0.32915774692475797,0.2344745029390249,0.4418463384141378,0.7379220471829933,0.04780582256938768,0.08532633169062226,4.348727272727256,7.305263636363592,5.08961038961039,-21.055313568241413,-36.89981301822323,-27.223972934159598,16.5,178.13636363636363,10.409090909090908,10.884454545454577
model_18,0.005,75,3000,22,525000.0,26.90909090909091,137.86363636363637,0.12958447094815473,0.08642821925134368,0.2894749334653865,0.20347504050196347,0.33979263832827145,0.5751424045216105,0.048261794364525906,0.08661685507879997,4.2167272727272485,7.125554545454517,3.594805194805195,-21.863945917000798,-33.12339003994061,-33.41604203734908,12.045454545454545,125.81818181818181,14.863636363636363,7.698696969697007
model_19,0.005,75,4000,22,525000.0,26.90909090909091,107.27272727272727,0.12086322227373548,0.0810754180633847,0.24957342741844882,0.17612168646412443,0.27626564390265185,0.45245709623054853,0.04837269157950932,0.08508008732480178,4.519454545454523,6.974790909090881,2.806493506493507,-23.827243016522765,-32.6521773901004,-39.14204855700668,9.045454545454545,98.22727272727273,17.863636363636363,5.788818181818201
model_20,0.005,75,5000,22,525000.0,26.90909090909091,87.27272727272727,0.13788336471163642,0.09218972810634227,0.2717039640146621,0.19293690609649186,0.28384639136997625,0.4802281903435949,0.05490958229533824,0.10036837238145059,4.911363636363614,7.44222727272722,2.2415584415584417,-22.35372852112332,-29.42872322998733,-38.67986753032768,8.818181818181818,78.45454545454545,18.09090909090909,5.532848484848514
model_21,0.005,100,1000,22,525000.0,26.90909090909091,387.6363636363636,0.10293837881698321,0.08489347697666294,0.2867691175843012,0.2487230351816114,0.690776996495911,0.8807148305061755,0.045821377562339775,0.06033016895816515,2.811545454545436,5.749672727272701,10.04935064935065,-29.156335333827826,-60.45064111399225,-23.87281880738197,22.0,351.72727272727275,4.909090909090909,17.859636363636398
model_22,0.005,100,2000,22,525000.0,26.90909090909091,213.63636363636363,0.13646176954570238,0.09492838770544866,0.33944194746772194,0.24686189752961088,0.4520243966507713,0.8025957966360232,0.04876987556951506,0.08512362028437938,4.361090909090877,8.034890909090883,5.5285714285714285,-20.10454632779759,-37.60377621908983,-24.036749563969646,18.045454545454547,193.5,8.863636363636363,12.256090909090949
model_23,0.005,100,3000,22,525000.0,26.90909090909091,149.54545454545453,0.13178429690098328,0.08473699060098748,0.29526339552852415,0.2007994951882185,0.32050797612119797,0.588719307656599,0.047868310522172705,0.08686563983911828,4.653999999999976,8.153838095238068,3.8948051948051945,-21.420250642868073,-33.81960991949739,-31.31148009546251,13.227272727272727,136.3181818181818,13.681818181818182,8.228939393939426
model_24,0.005,100,4000,22,525000.0,26.90909090909091,115.22727272727273,0.12941609744044774,0.08365356302615742,0.270910487924908,0.18163349754535107,0.2779952257507652,0.5096017644576415,0.05226792321778226,0.0898615707000964,4.773818181818143,7.966181818181782,2.9922077922077928,-22.425622052832335,-31.96055440711115,-35.97633769387475,10.5,104.72727272727273,16.40909090909091,6.5626969696969955
model_25,0.005,100,5000,22,525000.0,26.90909090909091,93.22727272727273,0.12711162891629882,0.0864464720450911,0.25144618228620474,0.17893447027243717,0.27019272780832226,0.44061744285379,0.05344306022080014,0.0919401142140524,4.2642727272727035,7.622663636363609,2.4155844155844153,-23.074173577610647,-30.814167521317778,-39.20417660575709,8.681818181818182,84.54545454545455,18.227272727272727,5.629242424242443
model_26,0.005,150,1000,22,525000.0,26.90909090909091,428.27272727272725,0.09854181197304629,0.08481356859928872,0.2836256495420212,0.25489324230115584,0.7697607152864606,0.9364692656690715,0.045297668643685896,0.056853108030481096,2.781545454545442,5.114618181818167,11.132467532467532,-31.298059201649778,-66.71610875623466,-22.9526707879937,23.318181818181817,389.6363636363636,3.590909090909091,19.803000000000036
model_27,0.005,150,2000,22,525000.0,26.90909090909091,231.9090909090909,0.13241113978832003,0.09254396597260449,0.34179182843370015,0.2502616690966371,0.5152577442340202,0.8610427496709402,0.04850707422918472,0.08092328236194875,4.201909090909063,7.807190909090898,6.025974025974026,-20.693298614347693,-40.07973569548035,-23.04553461923591,18.863636363636363,210.9090909090909,8.045454545454545,12.86657575757578
model_28,0.005,150,3000,22,525000.0,26.90909090909091,160.1818181818182,0.13361964665645978,0.08786594957230846,0.30573067598002557,0.21147043039423685,0.35939143176879007,0.6330520793450132,0.04526913786984608,0.08703368500250018,4.511545454545431,8.040836363636346,4.171428571428572,-20.492489781628972,-33.93174462782966,-28.863771449437728,14.181818181818182,146.0,12.727272727272727,9.0477575757576
model_29,0.005,150,4000,22,525000.0,26.90909090909091,122.54545454545455,0.13228168978085228,0.08425598481174872,0.2811793841346415,0.18595876952703172,0.3241780280669436,0.5321934369495384,0.052302671571977856,0.09041290191654751,5.022181818181775,7.893981818181801,3.1805194805194805,-21.947984395329932,-32.21291487387459,-34.45188279242123,11.227272727272727,111.31818181818181,15.681818181818182,6.977454545454569
model_30,0.005,150,5000,22,525000.0,26.90909090909091,98.86363636363636,0.11864789017939911,0.07936558548717666,0.23451225918628663,0.16571476569368643,0.21592144912499098,0.4360456395445421,0.04121917978219809,0.08618232824330321,5.053727272727257,7.702009090909072,2.577922077922078,-23.92730405402634,-32.29729558997221,-39.833217376962494,8.636363636363637,90.22727272727273,18.272727272727273,5.504848484848505
model_31,0.005,200,1000,22,525000.0,26.90909090909091,433.90909090909093,0.10023230629373639,0.08552971184842255,0.2899523253014957,0.2592298382631199,0.8205126757728791,0.9667410749473486,0.04600059443685162,0.057817814882131224,2.703090909090883,4.940845454545447,11.284415584415585,-31.047483278664217,-67.03147202786465,-22.01003435860945,23.454545454545453,394.95454545454544,3.4545454545454546,19.74490909090912
model_32,0.005,200,2000,22,525000.0,26.90909090909091,235.63636363636363,0.13508735171461306,0.09586340593043853,0.3509251217764994,0.25974327426019,0.48980808108017604,0.8902090177091817,0.04872232444457833,0.08240611674094732,4.51881818181815,7.7426181818181705,6.118181818181818,-20.398008472796686,-40.13608577668991,-22.2562425481228,19.181818181818183,214.13636363636363,7.7272727272727275,13.252787878787911
model_33,0.005,200,3000,22,525000.0,26.90909090909091,162.27272727272728,0.13451194284909176,0.08817046194236478,0.3120954882710922,0.21257439552441976,0.3234398174991258,0.6680777019228551,0.045530583181947915,0.08743039033108124,5.418181818181802,8.331954545454531,4.231168831168831,-21.097472153818583,-34.79168294733453,-29.568548575242428,14.181818181818182,148.0909090909091,12.727272727272727,9.092363636363666
model_34,0.005,200,4000,22,525000.0,26.90909090909091,124.13636363636364,0.12443541320014222,0.08296466579676652,0.26051377612105214,0.17802464674622814,0.2774867930145152,0.49055204832976335,0.049711367864646056,0.08621664684810221,4.857454545454531,8.013436363636345,3.2402597402597406,-22.764001395027126,-33.258905904251435,-35.65291277677861,10.727272727272727,113.4090909090909,16.181818181818183,6.969636363636397
model_35,0.005,200,5000,22,525000.0,26.90909090909091,99.5909090909091,0.11281211406042191,0.07003879983289293,0.22404684005375294,0.14919850737262733,0.23157063305885242,0.41660440861667086,0.041238863209073884,0.08269214980807542,5.0326363636363665,7.895336363636369,2.609090909090909,-25.063157912798292,-33.55314968933822,-41.27270747907378,8.272727272727273,91.31818181818181,18.636363636363637,4.8516060606060725
model_36,0.005,250,1000,22,525000.0,26.90909090909091,438.5,0.09773171747751933,0.0846923879562582,0.2866323370334805,0.259043241687574,0.7912307057682016,0.9626087597837724,0.04415079694524101,0.05592514277322296,2.596727272727278,5.137427272727255,11.410389610389611,-31.512086779658805,-67.97780615778562,-22.32468163604994,23.59090909090909,399.3636363636364,3.3181818181818183,20.13515151515154
model_37,0.005,250,2000,22,525000.0,26.90909090909091,237.22727272727272,0.13199646769370219,0.09097032504315182,0.34703376304847533,0.24705538111974282,0.4042529707936293,0.8843673501477884,0.041608587105716806,0.07987141003818149,5.1084545454545145,8.36245454545454,6.176623376623377,-20.96165221651888,-40.924142093757304,-22.707680005172396,19.0,216.1818181818182,7.909090909090909,12.844727272727319
model_38,0.005,250,3000,22,525000.0,26.90909090909091,163.36363636363637,0.1368233668768453,0.08699764425074882,0.3226599528296634,0.21231685876749537,0.33471945185724267,0.6875603014501935,0.046243338222975,0.08785949903872568,5.159090909090886,8.405963636363623,4.251948051948052,-20.77652285084561,-34.54077567458963,-28.803487348064504,14.545454545454545,148.8181818181818,12.363636363636363,9.044636363636402
model_39,0.005,250,4000,22,525000.0,26.90909090909091,124.63636363636364,0.13043907555831238,0.08769554198382695,0.2819185859988222,0.19391296762521268,0.30732966804844336,0.5422310611700221,0.05242367727533486,0.08845158973749619,4.770727272727263,7.855272727272706,3.242857142857143,-22.131035635668702,-32.64594953559319,-34.691760503888275,11.136363636363637,113.5,15.772727272727273,7.3563939393939615
model_40,0.005,250,5000,22,525000.0,26.90909090909091,100.31818181818181,0.12076554016035303,0.07957311614905319,0.25035801091900345,0.17451174670346564,0.2918172381870398,0.4811460892434949,0.04669180184948818,0.08593602875345363,4.975181818181808,7.924381818181823,2.618181818181818,-24.14799993743327,-32.677989474509765,-40.01936880525865,8.681818181818182,91.63636363636364,18.227272727272727,5.504090909090916
model_41,0.005,300,1000,22,525000.0,26.90909090909091,444.77272727272725,0.09689084723530637,0.08269931650920173,0.283488244993377,0.25278898455756155,0.8239319708579539,0.9594724089674777,0.0446089379684888,0.055548757296704325,2.63872727272726,5.142345454545435,11.575324675324675,-31.98210992016955,-69.09164748143527,-22.3364320486276,23.681818181818183,405.1363636363636,3.227272727272727,19.935181818181846
